吖,1
阿,2
啊,3
锕,4
嗄,5
哎,6
哀,7
埃,8
唉,9
锿,10
挨,11
捱,12
皑,13
癌,14
矮,15
蔼,16
霭,17
艾,18
砹,19
爱,20
隘,21
碍,22
嗳,23
嗌,24
嫒,25
瑷,26
暧,27
安,28
桉,29
氨,30
庵,31
谙,32
鹌,33
鞍,34
俺,35
埯,36
铵,37
揞,38
犴,39
岸,40
按,41
胺,42
案,43
暗,44
黯,45
肮,46
昂,47
盎,48
凹,49
敖,50
遨,51
嗷,52
廒,53
獒,54
熬,55
聱,56
螯,57
翱,58
鳌,59
鏖,60
袄,61
媪,62
岙,63
坳,64
傲,65
奥,66
骜,67
澳,68
懊,69
鏊,70
八,71
巴,72
扒,73
叭,74
芭,75
岜,76
疤,77
捌,78
笆,79
粑,80
拔,81
茇,82
菝,83
跋,84
魃,85
把,86
靶,87
坝,88
爸,89
罢,90
鲅,91
霸,92
灞,93
吧,94
掰,95
白,96
百,97
佰,98
柏,99
捭,100
摆,101
败,102
拜,103
稗,104
扳,105
班,106
般,107
颁,108
斑,109
搬,110
瘢,111
癍,112
阪,113
坂,114
板,115
版,116
钣,117
舨,118
办,119
半,120
伴,121
拌,122
绊,123
瓣,124
扮,125
邦,126
帮,127
梆,128
浜,129
绑,130
榜,131
蚌,132
棒,133
傍,134
谤,135
蒡,136
磅,137
镑,138
勹,139
包,140
苞,141
孢,142
胞,143
龅,144
煲,145
褒,146
雹,147
薄,148
宀,149
饱,150
宝,151
保,152
鸨,153
葆,154
堡,155
褓,156
报,157
抱,158
趵,159
豹,160
鲍,161
暴,162
爆,163
陂,164
杯,165
卑,166
悲,167
碑,168
鹎,169
北,170
贝,171
孛,172
邶,173
狈,174
备,175
背,176
钡,177
倍,178
悖,179
被,180
辈,181
惫,182
焙,183
蓓,184
碚,185
褙,186
鞴,187
鐾,188
呗,189
奔,190
贲,191
锛,192
本,193
苯,194
畚,195
坌,196
笨,197
崩,198
绷,199
嘣,200
甭,201
泵,202
迸,203
甏,204
蹦,205
逼,206
荸,207
鼻,208
匕,209
比,210
吡,211
妣,212
彼,213
秕,214
笔,215
俾,216
舭,217
鄙,218
币,219
必,220
毕,221
闭,222
庇,223
畀,224
荜,225
毖,226
哔,227
陛,228
毙,229
铋,230
狴,231
萆,232
庳,233
敝,234
婢,235
筚,236
愎,237
弼,238
蓖,239
跸,240
痹,241
滗,242
裨,243
碧,244
蔽,245
箅,246
弊,247
薜,248
篦,249
壁,250
避,251
嬖,252
髀,253
濞,254
臂,255
璧,256
襞,257
边,258
砭,259
笾,260
编,261
煸,262
蝙,263
鳊,264
鞭,265
贬,266
窆,267
扁,268
匾,269
碥,270
褊,271
卞,272
弁,273
苄,274
汴,275
忭,276
变,277
便,278
遍,279
缏,280
辨,281
辩,282
